Source sentence,Answer sentence
- Iraq 's President Saddam Hussein meets with chairman of the Russian liberal democratic party Vladimir Zhirinovsky .,chairman of is not a named entity
- Iraq 's President Saddam Hussein meets with chairman of the Russian liberal democratic party Vladimir Zhirinovsky .,- is not a named entity
- Iraq 's President Saddam Hussein meets with chairman of the Russian liberal democratic party Vladimir Zhirinovsky .,chairman of is not a named entity
- Iraq 's President Saddam Hussein meets with chairman of the Russian liberal democratic party Vladimir Zhirinovsky .,chairman is not a named entity
- Turkish foreign minister says Turkey will take part in the Baghdad trade fair that will be held in November .,Turkish is an other entity
- Turkish foreign minister says Turkey will take part in the Baghdad trade fair that will be held in November .,Turkey is a location entity
- Turkish foreign minister says Turkey will take part in the Baghdad trade fair that will be held in November .,Baghdad is a location entity
- Turkish foreign minister says Turkey will take part in the Baghdad trade fair that will be held in November .,in is not a named entity
- Turkish foreign minister says Turkey will take part in the Baghdad trade fair that will be held in November .,November is not a named entity
- Turkish foreign minister says Turkey will take part in the Baghdad trade fair that will be held in November .,be is not a named entity
- Turkish foreign minister says Turkey will take part in the Baghdad trade fair that will be held in November .,says is not a named entity
- Turkish foreign minister says Turkey will take part in the Baghdad trade fair that will be held in November .,fair is not a named entity
IRAQ,IRAQ is a location entity
- A shipload of 12 tonnes of rice arrives in Umm Qasr port in the Gulf .,Umm Qasr is a location entity
- A shipload of 12 tonnes of rice arrives in Umm Qasr port in the Gulf .,Gulf is a location entity
- A shipload of 12 tonnes of rice arrives in Umm Qasr port in the Gulf .,. is not a named entity
- A shipload of 12 tonnes of rice arrives in Umm Qasr port in the Gulf .,arrives in is not a named entity
PRESS DIGEST - Lebanon - Aug 22 .,Lebanon is a location entity
PRESS DIGEST - Lebanon - Aug 22 .,- is not a named entity
BEIRUT 1996-08-22,BEIRUT is a location entity
BEIRUT 1996-08-22,1996-08-22 is not a named entity
These are the leading stories in the Beirut press on Thursday .,Beirut is a location entity
These are the leading stories in the Beirut press on Thursday .,in is not a named entity
Reuters has not verified these stories and does not vouch for their accuracy .,Reuters is an organization entity
Reuters has not verified these stories and does not vouch for their accuracy .,these is not a named entity
AN-NAHAR,AN-NAHAR is an organization entity
- Confrontation is escalating between Hizbollah and the government .,Hizbollah is an organization entity
- Prime Minister Hariri : Israeli threats do no serve peace .,Hariri is a person entity
- Prime Minister Hariri : Israeli threats do no serve peace .,Israeli is an other entity
- Prime Minister Hariri : Israeli threats do no serve peace .,Minister is not a named entity
- Prime Minister Hariri : Israeli threats do no serve peace .,do is not a named entity
- Prime Minister Hariri : Israeli threats do no serve peace .,: is not a named entity
AS-SAFIR,AS-SAFIR is an organization entity
- Parliament Speaker Berri : Israel is preparing for war against Syria and Lebanon .,Berri is a person entity
- Parliament Speaker Berri : Israel is preparing for war against Syria and Lebanon .,Israel is a location entity
- Parliament Speaker Berri : Israel is preparing for war against Syria and Lebanon .,Syria is a location entity
- Parliament Speaker Berri : Israel is preparing for war against Syria and Lebanon .,Lebanon is a location entity
- Parliament Speaker Berri : Israel is preparing for war against Syria and Lebanon .,preparing is not a named entity
- Parliament Speaker Berri : Israel is preparing for war against Syria and Lebanon .,preparing is not a named entity
- Parliament Speaker Berri : Israel is preparing for war against Syria and Lebanon .,Parliament is not a named entity
- Parliament Speaker Berri : Israel is preparing for war against Syria and Lebanon .,: is not a named entity
- Parliamentary battle in Beirut ..,Beirut is a location entity
- Parliamentary battle in Beirut ..,in is not a named entity
AL-ANWAR,AL-ANWAR is an organization entity
- Continued criticism of law violation incidents -- which occurred in the Mount Lebanon elections last Sunday .,Mount Lebanon is a location entity
- Continued criticism of law violation incidents -- which occurred in the Mount Lebanon elections last Sunday .,last Sunday is not a named entity
AD-DIYAR,AD-DIYAR is an organization entity
- Financial negotiations between Lebanon and Pakistan .,Lebanon is a location entity
- Financial negotiations between Lebanon and Pakistan .,Pakistan is a location entity
- Financial negotiations between Lebanon and Pakistan .,- is not a named entity
- Financial negotiations between Lebanon and Pakistan .,negotiations is not a named entity
- Hariri to step into the election battle with an incomplete list .,Hariri is a person entity
- Hariri to step into the election battle with an incomplete list .,battle is not a named entity
NIDA'A AL-WATAN,NIDA'A AL-WATAN is an organization entity
NIDA'A AL-WATAN,AL-WATAN is not a named entity
- Maronite Patriarch Sfeir expressed sorrow over the violations in Sunday ' elections .,Maronite is an organization entity
- Maronite Patriarch Sfeir expressed sorrow over the violations in Sunday ' elections .,Sfeir is a person entity
- Maronite Patriarch Sfeir expressed sorrow over the violations in Sunday ' elections .,Patriarch is not a named entity
CME live and feeder cattle calls range mixed .,CME is an organization entity
CME live and feeder cattle calls range mixed .,range is not a named entity
CHICAGO 1996-08-22,CHICAGO is a location entity
CHICAGO 1996-08-22,1996-08-22 is not a named entity
"Early calls on CME live and feeder cattle futures ranged from 0.200 cent higher to 0.100 lower , livestock analysts said .",CME is an organization entity
"Early calls on CME live and feeder cattle futures ranged from 0.200 cent higher to 0.100 lower , livestock analysts said .",lower is not a named entity
"MONTGOMERY , Ala .",MONTGOMERY is a location entity
"MONTGOMERY , Ala .",Ala is a location entity
KinderCare Learning Centers Inc said on Thursday that a debt buyback would mean an extraordinary loss of $ 1.2 million in its fiscal 1997 first quarter .,KinderCare Learning Centers Inc is an organization entity
KinderCare Learning Centers Inc said on Thursday that a debt buyback would mean an extraordinary loss of $ 1.2 million in its fiscal 1997 first quarter .,quarter . is not a named entity
"Philip Maslowe , chief financial officer of the preschool and child care company , said the buyback "" offered an opportunity to reduce the company 's weighted average interest costs and improve future cash flows and earnings . """,Philip Maslowe is a person entity
"Philip Maslowe , chief financial officer of the preschool and child care company , said the buyback "" offered an opportunity to reduce the company 's weighted average interest costs and improve future cash flows and earnings . """,said the is not a named entity
RESEARCH ALERT - Lehman starts SNET .,Lehman is an organization entity
RESEARCH ALERT - Lehman starts SNET .,SNET is an organization entity
RESEARCH ALERT - Lehman starts SNET .,RESEARCH is not a named entity
